                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0317,                0.79393,                 1.3093,                 0.9616,                0.89601,                0.95701,                 0.7045,                 0.9059,                0.90153,                 1.1535,               0.002872,               0.002872,               0.002872
                     74,                 1.0376,                 0.8043,                 1.3174,                0.95811,                0.89868,                0.95759,                0.70334,                0.90799,                0.90193,                 1.1541,               0.002773,               0.002773,               0.002773
                     75,                 1.0264,                0.79143,                 1.3074,                  0.961,                0.89677,                0.95732,                0.70338,                0.90934,                0.90926,                  1.156,               0.002674,               0.002674,               0.002674
                     76,                 1.0188,                0.77469,                 1.3037,                0.95979,                0.90147,                 0.9575,                0.70274,                0.90652,                0.86486,                 1.1539,               0.002575,               0.002575,               0.002575
                     77,                 1.0125,                0.76294,                 1.2981,                0.96002,                0.90136,                 0.9567,                0.70238,                0.90567,                0.85336,                 1.1534,               0.002476,               0.002476,               0.002476
                     78,                 1.0089,                0.77306,                 1.3003,                0.95499,                0.90557,                0.95708,                 0.7033,                0.90433,                0.86001,                  1.153,               0.002377,               0.002377,               0.002377
                     79,                 1.0283,                0.77062,                 1.3161,                0.95834,                0.90323,                0.95823,                0.70347,                0.90351,                0.86346,                 1.1527,               0.002278,               0.002278,               0.002278
                     80,                 1.0043,                0.76137,                 1.2961,                0.95606,                0.90499,                0.95799,                0.70459,                0.89986,                0.86366,                 1.1499,               0.002179,               0.002179,               0.002179
                     81,                 1.0053,                0.75698,                 1.2897,                0.96084,                0.90088,                0.95783,                0.70554,                0.89993,                0.85848,                 1.1493,                0.00208,                0.00208,                0.00208
                     82,                0.98871,                0.74268,                 1.2776,                0.96598,                0.89942,                0.95856,                0.70578,                0.90051,                0.85347,                 1.1493,               0.001981,               0.001981,               0.001981
                     83,                0.98723,                0.73338,                  1.278,                0.95905,                 0.9044,                0.95802,                0.70627,                0.89962,                0.85244,                 1.1489,               0.001882,               0.001882,               0.001882
                     84,                 0.9943,                 0.7303,                 1.2791,                0.95547,                0.90616,                 0.9581,                0.70699,                0.89938,                0.84967,                 1.1488,               0.001783,               0.001783,               0.001783
                     85,                0.98767,                0.72541,                 1.2792,                0.95726,                0.90644,                0.95797,                0.70736,                0.89937,                0.84916,                 1.1495,               0.001684,               0.001684,               0.001684
                     86,                0.98073,                0.72895,                  1.272,                0.95989,                 0.9044,                0.95759,                 0.7075,                0.89912,                0.83996,                 1.1492,               0.001585,               0.001585,               0.001585
                     87,                0.97345,                0.72668,                 1.2675,                0.96011,                0.90347,                0.95772,                0.70783,                0.89955,                  0.841,                 1.1494,               0.001486,               0.001486,               0.001486
                     88,                0.96736,                0.71291,                 1.2625,                0.96311,                0.90344,                0.95789,                 0.7089,                0.89806,                 0.8373,                 1.1475,               0.001387,               0.001387,               0.001387
                     89,                0.97067,                0.71077,                 1.2664,                0.96047,                0.90323,                0.95803,                0.70825,                0.89819,                0.83421,                 1.1478,               0.001288,               0.001288,               0.001288
                     90,                0.95276,                0.70198,                 1.2526,                0.95773,                0.90499,                0.95802,                0.70917,                 0.8975,                0.83562,                 1.1473,               0.001189,               0.001189,               0.001189
                     91,                 0.9601,                0.69175,                 1.2538,                0.95918,                0.90499,                0.95908,                0.70946,                0.89624,                0.83262,                 1.1465,                0.00109,                0.00109,                0.00109
                     92,                0.94635,                0.70173,                 1.2531,                0.95851,                0.90499,                0.95925,                0.70996,                0.89523,                0.83115,                 1.1456,               0.000991,               0.000991,               0.000991
                     93,                0.94771,                0.69417,                 1.2464,                0.95881,                0.90557,                0.95961,                0.71129,                0.89465,                0.83135,                 1.1456,               0.000892,               0.000892,               0.000892
                     94,                0.94572,                0.69094,                 1.2488,                0.95846,                0.90667,                0.95956,                0.71046,                0.89424,                0.82947,                 1.1451,               0.000793,               0.000793,               0.000793
                     95,                0.93814,                0.67936,                 1.2456,                0.95843,                0.90607,                0.96037,                0.71005,                0.89452,                0.82837,                 1.1449,               0.000694,               0.000694,               0.000694
                     96,                0.94035,                0.68965,                 1.2475,                0.95787,                0.90668,                0.96043,                 0.7103,                0.89402,                0.83048,                 1.1443,               0.000595,               0.000595,               0.000595
                     97,                0.91882,                0.67204,                  1.234,                0.95793,                0.90674,                0.96059,                0.71104,                0.89375,                0.83116,                 1.1442,               0.000496,               0.000496,               0.000496
                     98,                0.93242,                0.67491,                 1.2399,                0.96031,                0.90557,                0.96068,                0.71149,                0.89329,                0.83034,                 1.1435,               0.000397,               0.000397,               0.000397
                     99,                0.93505,                0.67439,                 1.2497,                 0.9613,                0.90557,                 0.9607,                0.71154,                0.89374,                0.83052,                 1.1433,               0.000298,               0.000298,               0.000298
